"URI"	"code"	"Label (English)"
"http://id.loc.gov/vocabulary/relators/act"	"act"	"Actor"
"http://id.loc.gov/vocabulary/relators/anm"	"anm"	"Animator"
"http://id.loc.gov/vocabulary/relators/art"	"art"	"Artist"
"http://id.loc.gov/vocabulary/relators/aut"	"aut"	"Author"
"http://id.loc.gov/vocabulary/relators/brd"	"brd"	"Broadcaster"
"http://id.loc.gov/vocabulary/relators/chr"	"chr"	"Choreographer"
"http://id.loc.gov/vocabulary/relators/cng"	"cng"	"Cinematographer"
"http://id.loc.gov/vocabulary/relators/cmm"	"cmm"	"Commentator"
"http://id.loc.gov/vocabulary/relators/cmp"	"cmp"	"Composer"
"http://id.loc.gov/vocabulary/relators/cnd"	"cnd"	"Conductor"
"http://id.loc.gov/vocabulary/relators/ctb"	"ctb"	"Contributor"
"http://id.loc.gov/vocabulary/relators/cst"	"cst"	"Costume designer"
"http://id.loc.gov/vocabulary/relators/cre"	"cre"	"Creator"
"http://id.loc.gov/vocabulary/relators/dnc"	"dnc"	"Dancer"
"http://id.loc.gov/vocabulary/relators/drt"	"drt"	"Director"
"http://id.loc.gov/vocabulary/relators/dst"	"dst"	"Distributor"
"http://id.loc.gov/vocabulary/relators/fnd"	"fnd"	"Funder"
"http://id.loc.gov/vocabulary/relators/hst"	"hst"	"Host"
"http://id.loc.gov/vocabulary/relators/itr"	"itr"	"Instrumentalist"
"http://id.loc.gov/vocabulary/relators/ive"	"ive"	"Interviewee"
"http://id.loc.gov/vocabulary/relators/ivr"	"ivr"	"Interviewer"
"http://id.loc.gov/vocabulary/relators/led"	"led"	"Lead"
"http://id.loc.gov/vocabulary/relators/lbt"	"lbt"	"Librettist"
"http://id.loc.gov/vocabulary/relators/lgd"	"lgd"	"Lighting designer"
"http://id.loc.gov/vocabulary/relators/lyr"	"lyr"	"Lyricist"
"http://id.loc.gov/vocabulary/relators/mod"	"mod"	"Moderator"
"http://id.loc.gov/vocabulary/relators/mus"	"mus"	"Musician"
"http://id.loc.gov/vocabulary/relators/nrt"	"nrt"	"Narrator"
"http://id.loc.gov/vocabulary/relators/oth"	"oth"	"Other"
"http://id.loc.gov/vocabulary/relators/pan"	"pan"	"Panelist"
"http://id.loc.gov/vocabulary/relators/prf"	"prf"	"Performer"
"http://id.loc.gov/vocabulary/relators/pre"	"pre"	"Presenter"
"http://id.loc.gov/vocabulary/relators/pro"	"pro"	"Producer"
"http://id.loc.gov/vocabulary/relators/pmn"	"pmn"	"Production manager"
"http://id.loc.gov/vocabulary/relators/prd"	"prd"	"Production personnel"
"http://id.loc.gov/vocabulary/relators/pbl"	"pbl"	"Publisher"
"http://id.loc.gov/vocabulary/relators/ppt"	"ppt"	"Puppeteer"
"http://id.loc.gov/vocabulary/relators/rcd"	"rcd"	"Recordist"
"http://id.loc.gov/vocabulary/relators/rpt"	"rpt"	"Reporter"
"http://id.loc.gov/vocabulary/relators/aus"	"aus"	"Screenwriter"
"http://id.loc.gov/vocabulary/relators/std"	"std"	"Set designer"
"http://id.loc.gov/vocabulary/relators/sng"	"sng"	"Singer"
"http://id.loc.gov/vocabulary/relators/sds"	"sds"	"Sound designer"
"http://id.loc.gov/vocabulary/relators/spk"	"spk"	"Speaker"
"http://id.loc.gov/vocabulary/relators/sgd"	"sgd"	"Stage director"
"http://id.loc.gov/vocabulary/relators/stm"	"stm"	"Stage manager"
"http://id.loc.gov/vocabulary/relators/stl"	"stl"	"Storyteller"
"http://id.loc.gov/vocabulary/relators/trl"	"trl"	"Translator"
"http://id.loc.gov/vocabulary/relators/vdg"	"vdg"	"Videographer"
"http://id.loc.gov/vocabulary/relators/vac"	"vac"	"Voice actor"
