NOID	Number of Departments
cgm80hv570	3
pv63g251r	3
ns064728w	2
cbz60cw47m	2
m039k6078	2
c05741s11w	2
n870zt19f	2
zs25x878n	2
0g354h52h	2
k930c0550	2
vm40xt64p	2
2b88qf47w	2
k3569587k	2
csj139229z	2
nk322g13q	2
d217qs12s	2
ch128nf10h	2
9593tw995	2
n583xx153	2
3b591938h	2
c6h440s749	2
np193b40x	2
chh63sv91w	2
7h149p88r	2
cmg74qm46c	2
8p58pg87g	2
c6969z104c	2
cv43nz485	2
t722hb85r	2
vm40xt781	2
7d278w47w	2
ms35tb76r	2
qn59q6094	2
0z708z544	2
tt44pp710	2
1g05fd95z	2
ks65hf47n	2
qz20sv49f	2
t722hc53p	2
9306t193p	2
c0r967399c	2
0k225d221	2
w9505301s	2
4t64gq46b	2
t722hb373	2
f4752j518	2
4j03d2382	2
c821gm703	2
rb68xc381	2
nk322h02d	2
k3569671w	2
qv33s018k	2
g732dc368	2
z890rw40k	2
1c18dh846	2
9w032533f	2
pg15bg665	2
s1784p464	2
c9593tv584	2
sq87bx01m	2
n009w4694	2
c2f75r826k	2
w37638943	2
0z708z47q	2
c2227mp89r	2
cht24wj66m	2
6969z336h	2
00000118n	2
vm40xs42f	2
k930bz28q	2
js956h724	2
1j92g930b	2
c2514nk681	2
cj82k932n	2
9p290c93d	2
tm70mx84h	2
cf4752g84r	2
vt150m83s	2
7m01bn432	2
wh246v00w	2
c8w32r5749	2
xd07gt83v	2
m900nv494	2
hq37vq55g	2
5425kd12j	2
mc87ps36r	2
2n49t266p	2
70795812h	2
1z40kv76t	2
8623j1300	2
d504rk378	2
mw22v7094	2
cj82k9567	2
c08612n94x	2
1c18dj17j	2
gt54kn36f	2
ms35tc182	2
5425kd04v	2
7w62fb873	2
q524jq661	2
2n49t409g	2
sq87bx167	2
br86b605v	2
v405sd23k	2
bg257h23t	2
cn69m664f	2
